char,observations,max_level,min_level,first_seen,last_seen,activity_days,days_since_start,unique_zones,guild_count,race,charclass,level_gain,has_guild,churned
7,300,60,54,2008-01-15 21:47:09,2008-04-12 01:24:37,87,14,36,1,Orc,Hunter,6,1,0
9,2739,70,70,2008-01-01 11:02:20,2008-06-29 21:13:52,180,0,79,1,Orc,Hunter,0,1,1
10,454,53,29,2008-07-06 17:04:02,2008-09-27 16:27:25,82,187,34,0,Orc,Hunter,24,0,0
19,2988,70,69,2008-01-07 03:01:19,2008-07-25 22:02:45,200,6,45,1,Orc,Rogue,1,1,0
21,1168,70,70,2008-01-01 00:32:25,2008-09-29 17:05:23,272,0,60,1,Orc,Hunter,0,1,0
22,25,62,62,2008-01-21 12:26:29,2008-09-21 13:17:09,244,20,3,1,Orc,Warrior,0,1,0
23,2040,70,70,2008-01-02 01:32:33,2008-09-28 20:27:10,270,1,53,1,Orc,Hunter,0,1,0
26,6,61,61,2008-02-09 17:12:47,2008-02-14 23:02:33,5,39,2,1,Orc,Hunter,0,1,0
27,310,65,60,2008-06-25 01:49:23,2008-07-02 03:06:27,7,176,18,1,Orc,Hunter,5,1,1
28,1378,70,70,2008-01-01 02:02:44,2008-09-30 00:24:09,272,0,26,1,Orc,Hunter,0,1,0
31,2564,70,70,2008-05-24 16:04:19,2008-09-30 01:44:05,128,144,54,2,Orc,Shaman,0,1,0
32,59,61,60,2008-04-20 16:23:22,2008-09-14 14:16:52,146,110,5,0,Orc,Shaman,1,0,0
34,685,70,70,2008-01-05 17:11:06,2008-09-29 22:54:39,268,4,28,2,Orc,Warrior,0,1,0
36,5597,70,70,2008-01-01 00:02:34,2008-09-30 23:54:08,273,0,75,1,Orc,Shaman,0,1,0
37,1113,70,70,2008-01-04 21:21:13,2008-09-20 08:47:04,259,3,42,2,Orc,Warrior,0,1,0
38,1052,70,66,2008-02-21 21:31:03,2008-09-24 22:09:32,216,51,39,1,Orc,Hunter,4,1,0
39,15,60,60,2008-01-04 12:31:17,2008-09-24 19:26:40,264,3,1,0,Orc,Rogue,0,0,1
41,5,60,60,2008-02-06 13:39:48,2008-06-12 20:15:54,127,36,2,0,Orc,Shaman,0,0,1
44,2842,70,70,2008-01-01 00:12:17,2008-09-10 02:17:15,253,0,47,2,Orc,Rogue,0,1,0
45,1880,70,70,2008-01-01 01:42:31,2008-06-24 19:06:40,175,0,50,1,Orc,Hunter,0,1,1
48,1,61,61,2008-08-31 12:47:37,2008-08-31 12:47:37,0,243,1,1,Orc,Warrior,0,1,0
49,7,60,60,2008-03-10 18:57:58,2008-09-27 19:37:12,201,69,4,1,Orc,Warrior,0,1,1
51,173,70,70,2008-01-05 09:21:10,2008-04-07 18:05:47,93,4,26,1,Orc,Hunter,0,1,1
53,1293,70,70,2008-01-01 00:02:24,2008-09-28 18:58:06,271,0,22,1,Orc,Hunter,0,1,0
54,42,70,70,2008-02-28 20:56:26,2008-03-25 22:58:44,26,58,7,1,Orc,Warlock,0,1,0
56,605,70,70,2008-01-02 03:42:10,2008-07-06 17:55:57,186,1,43,2,Orc,Hunter,0,1,1
57,4484,70,70,2008-01-01 09:32:27,2008-09-30 17:25:44,273,0,42,1,Orc,Warrior,0,1,0
59,15,70,70,2008-08-17 21:36:05,2008-08-27 20:29:47,9,229,3,1,Orc,Warrior,0,1,0
62,1604,70,70,2008-01-01 00:02:19,2008-03-26 03:18:07,85,0,35,1,Orc,Warrior,0,1,0
64,1295,70,70,2008-01-01 00:02:24,2008-09-13 18:07:09,256,0,35,1,Orc,Hunter,0,1,1
68,821,70,67,2008-01-01 00:02:54,2008-09-30 23:45:01,273,0,35,1,Tauren,Warrior,3,1,0
72,193,40,26,2008-05-22 18:44:14,2008-09-30 21:44:30,131,142,17,1,Tauren,Druid,14,1,0
73,1,60,60,2008-01-26 01:19:55,2008-01-26 01:19:55,0,25,1,1,Tauren,Warrior,0,1,0
77,11,12,12,2008-02-14 00:53:03,2008-07-06 23:54:27,143,44,1,0,Tauren,Shaman,0,0,0
84,5921,70,70,2008-01-01 09:52:44,2008-09-30 23:14:45,273,0,71,1,Tauren,Warrior,0,1,0
86,2109,70,70,2008-01-02 22:52:52,2008-09-29 18:24:48,270,1,63,3,Tauren,Shaman,0,1,0
87,2024,70,70,2008-01-01 00:23:23,2008-09-28 22:17:44,271,0,54,1,Tauren,Shaman,0,1,0
88,52,36,35,2008-01-02 00:43:08,2008-02-25 01:36:36,54,1,10,0,Tauren,Shaman,1,0,1
90,404,70,70,2008-01-01 20:52:59,2008-05-06 22:57:00,126,0,23,1,Tauren,Druid,0,1,1
91,298,70,70,2008-01-01 00:03:15,2008-09-29 21:04:44,272,0,21,1,Tauren,Druid,0,1,0
94,3445,70,70,2008-01-01 22:42:54,2008-09-30 21:44:47,272,0,54,2,Tauren,Warrior,0,1,0
95,452,70,62,2008-01-01 13:33:11,2008-09-28 01:00:20,270,0,14,1,Tauren,Hunter,8,1,0
96,906,70,66,2008-01-04 00:53:01,2008-09-30 21:15:39,270,3,40,1,Tauren,Shaman,4,1,0
101,21,60,60,2008-03-11 23:18:55,2008-04-01 00:03:33,20,70,1,1,Tauren,Shaman,0,1,1
102,5,60,60,2008-02-24 16:36:42,2008-06-28 18:13:05,125,54,2,0,Tauren,Druid,0,0,1
108,3247,70,70,2008-03-18 18:09:05,2008-08-29 00:08:20,163,77,80,3,Tauren,Warrior,0,1,0
109,1189,70,70,2008-04-12 11:06:40,2008-09-30 20:54:35,171,102,46,2,Tauren,Druid,0,1,0
112,1922,70,64,2008-01-01 00:02:49,2008-08-27 23:22:49,239,0,57,3,Tauren,Druid,6,1,0
113,967,70,70,2008-01-01 14:33:12,2008-07-14 20:44:00,195,0,32,2,Tauren,Druid,0,1,0
114,11,60,60,2008-02-12 23:23:24,2008-09-10 22:27:35,210,42,3,0,Tauren,Druid,0,0,0
118,255,70,70,2008-01-01 21:13:23,2008-04-08 21:31:22,98,0,16,1,Tauren,Druid,0,1,1
122,1166,70,63,2008-01-05 21:01:33,2008-09-16 04:07:50,254,4,23,1,Tauren,Hunter,7,1,1
126,1,60,60,2008-05-09 11:16:29,2008-05-09 11:16:29,0,129,1,1,Tauren,Hunter,0,1,1
127,470,70,70,2008-05-27 02:03:49,2008-07-29 21:42:50,63,147,16,0,Tauren,Shaman,0,0,1
128,1,70,70,2008-05-27 13:13:31,2008-05-27 13:13:31,0,147,1,1,Tauren,Warrior,0,1,0
130,87,61,61,2008-01-14 00:07:36,2008-09-30 23:54:24,260,13,16,1,Tauren,Druid,0,1,0
132,2941,70,70,2008-01-02 23:53:06,2008-09-30 19:54:37,271,1,34,2,Tauren,Warrior,0,1,0
133,170,70,70,2008-01-01 00:03:04,2008-09-29 17:24:35,272,0,12,1,Tauren,Hunter,0,1,0
135,388,70,70,2008-01-03 20:53:18,2008-06-10 22:26:17,159,2,24,1,Tauren,Warrior,0,1,0
140,6072,70,70,2008-01-01 00:02:59,2008-09-30 23:54:34,273,0,78,2,Tauren,Warrior,0,1,0
141,547,70,70,2008-01-01 00:03:09,2008-04-27 02:54:30,117,0,37,2,Tauren,Shaman,0,1,0
143,45,60,60,2008-01-09 05:10:18,2008-09-13 17:08:52,248,8,6,2,Tauren,Hunter,0,1,0
144,1619,70,70,2008-01-01 20:03:21,2008-09-17 22:37:43,260,0,48,3,Tauren,Druid,0,1,1
147,4,60,60,2008-07-13 03:43:34,2008-08-13 23:56:13,31,194,1,1,Tauren,Shaman,0,1,0
148,3974,70,70,2008-01-01 13:43:19,2008-09-27 00:38:42,269,0,66,1,Tauren,Shaman,0,1,0
149,1681,70,70,2008-01-01 20:43:06,2008-06-24 21:57:55,175,0,48,1,Tauren,Shaman,0,1,1
150,22,60,60,2008-05-30 22:13:03,2008-08-24 21:05:35,85,150,1,1,Tauren,Warrior,0,1,1
152,4296,70,70,2008-01-01 11:12:43,2008-09-30 23:54:34,273,0,79,2,Tauren,Warrior,0,1,0
