char,observations,max_level,min_level,activity_days,days_since_start,unique_zones,unique_sessions,guild_count,level_gain,has_guild,race_encoded,class_encoded,obs_per_session,zone_per_day,level_per_day,zones_per_obs,is_late_joiner,no_guild,is_heavy_player,is_light_player,is_max_level,is_static,stalled_leveller,is_low_level,progression_ratio,guild_hopper,is_explorer,obs_x_level,activity_x_guild,churned
7,300,60,54,87,14,36,26,1,6,1,1,1,11.11111111111111,0.4090909090909091,0.6818181818181818,0.11960132890365449,0,0,0,0,0,0,0,0,0.09836065573770492,0,0,18000,87,0
9,2739,70,70,180,0,79,199,1,0,1,1,1,13.695,0.43646408839779005,0.3867403314917127,0.028832116788321167,0,0,1,0,1,0,1,0,0.0,0,1,191730,180,1
10,454,53,29,82,187,34,39,0,24,0,1,1,11.35,0.40963855421686746,0.6385542168674698,0.07472527472527472,1,1,0,0,0,0,0,0,0.4444444444444444,0,0,24062,0,0
19,2988,70,69,200,6,45,279,1,1,1,1,5,10.67142857142857,0.22388059701492538,0.3482587064676617,0.015055202408832385,0,0,1,0,1,0,1,0,0.014084507042253521,0,1,209160,200,0
21,1168,70,70,272,0,60,199,1,0,1,1,1,5.84,0.21978021978021978,0.2564102564102564,0.05132591958939264,0,0,0,0,1,0,1,0,0.0,0,1,81760,272,0
22,25,62,62,244,20,3,7,1,0,1,1,8,3.125,0.012244897959183673,0.2530612244897959,0.11538461538461539,0,0,0,1,0,1,1,0,0.0,0,0,1550,244,0
23,2040,70,70,270,1,53,182,1,0,1,1,1,11.147540983606557,0.19557195571955718,0.25830258302583026,0.02596766291033807,0,0,0,0,1,0,1,0,0.0,0,1,142800,270,0
26,6,61,61,5,39,2,3,1,0,1,1,1,1.5,0.3333333333333333,10.166666666666666,0.2857142857142857,0,0,0,0,0,1,0,0,0.0,0,0,366,5,0
27,310,65,60,7,176,18,27,1,5,1,1,1,11.071428571428571,2.25,8.125,0.05787781350482315,0,0,1,0,0,0,0,0,0.07575757575757576,0,0,20150,7,1
28,1378,70,70,272,0,26,100,1,0,1,1,1,13.643564356435643,0.09523809523809523,0.2564102564102564,0.01885424220449601,0,0,0,0,1,0,1,0,0.0,0,0,96460,272,0
31,2564,70,70,128,144,54,238,2,0,1,1,6,10.728033472803347,0.4186046511627907,0.5426356589147286,0.021052631578947368,0,0,1,0,1,0,1,0,0.0,0,1,179480,128,0
32,59,61,60,146,110,5,12,0,1,0,1,6,4.538461538461538,0.034013605442176874,0.41496598639455784,0.08333333333333333,0,1,0,1,0,0,1,0,0.016129032258064516,0,0,3599,0,0
34,685,70,70,268,4,28,98,2,0,1,1,8,6.91919191919192,0.10408921933085502,0.26022304832713755,0.04081632653061224,0,0,0,0,1,0,1,0,0.0,0,0,47950,268,0
36,5597,70,70,273,0,75,453,1,0,1,1,6,12.32819383259912,0.2737226277372263,0.25547445255474455,0.01339764201500536,0,0,1,0,1,0,1,0,0.0,0,1,391790,273,0
37,1113,70,70,259,3,42,74,2,0,1,1,8,14.84,0.16153846153846155,0.2692307692307692,0.03770197486535009,0,0,0,0,1,0,1,0,0.0,0,0,77910,259,0
38,1052,70,66,216,51,39,76,1,4,1,1,1,13.662337662337663,0.17972350230414746,0.3225806451612903,0.037037037037037035,0,0,0,0,1,0,0,0,0.056338028169014086,0,0,73640,216,0
39,15,60,60,264,3,1,6,0,0,0,1,5,2.142857142857143,0.0037735849056603774,0.22641509433962265,0.0625,0,1,0,1,0,1,1,0,0.0,0,0,900,0,1
41,5,60,60,127,36,2,4,0,0,0,1,6,1.0,0.015625,0.46875,0.3333333333333333,0,1,0,1,0,1,1,0,0.0,0,0,300,0,1
44,2842,70,70,253,0,47,251,2,0,1,1,5,11.277777777777779,0.18503937007874016,0.2755905511811024,0.016531832571227575,0,0,1,0,1,0,1,0,0.0,0,1,198940,253,0
45,1880,70,70,175,0,50,227,1,0,1,1,1,8.24561403508772,0.2840909090909091,0.3977272727272727,0.02658160552897395,0,0,1,0,1,0,1,0,0.0,0,1,131600,175,1
49,7,60,60,201,69,4,3,1,0,1,1,8,1.75,0.019801980198019802,0.297029702970297,0.5,0,0,0,1,0,0,1,0,0.0,0,0,420,201,1
51,173,70,70,93,4,26,15,1,0,1,1,1,10.8125,0.2765957446808511,0.7446808510638298,0.14942528735632185,0,0,0,0,1,0,1,0,0.0,0,0,12110,93,1
53,1293,70,70,271,0,22,216,1,0,1,1,1,5.95852534562212,0.08088235294117647,0.25735294117647056,0.017001545595054096,0,0,0,0,1,0,1,0,0.0,0,0,90510,271,0
54,42,70,70,26,58,7,5,1,0,1,1,7,7.0,0.25925925925925924,2.5925925925925926,0.16279069767441862,0,0,0,0,1,0,0,0,0.0,0,0,2940,26,0
56,605,70,70,186,1,43,66,2,0,1,1,1,9.029850746268657,0.22994652406417113,0.37433155080213903,0.07095709570957096,0,0,0,0,1,0,1,0,0.0,0,0,42350,186,1
57,4484,70,70,273,0,42,492,1,0,1,1,8,9.095334685598377,0.15328467153284672,0.25547445255474455,0.009364548494983277,0,0,1,0,1,0,1,0,0.0,0,0,313880,273,0
59,15,70,70,9,229,3,5,1,0,1,1,8,2.5,0.3,7.0,0.1875,1,0,0,0,1,1,0,0,0.0,0,0,1050,9,0
62,1604,70,70,85,0,35,40,1,0,1,1,8,39.1219512195122,0.4069767441860465,0.813953488372093,0.021806853582554516,0,0,1,0,1,0,1,0,0.0,0,0,112280,85,0
64,1295,70,70,256,0,35,121,1,0,1,1,1,10.614754098360656,0.13618677042801555,0.2723735408560311,0.02700617283950617,0,0,0,0,1,0,1,0,0.0,0,0,90650,256,1
68,821,70,67,273,0,35,81,1,3,1,2,8,10.012195121951219,0.12773722627737227,0.25547445255474455,0.04257907542579075,0,0,0,0,1,0,0,0,0.04225352112676056,0,0,57470,273,0
72,193,40,26,131,142,17,22,1,14,1,2,0,8.391304347826088,0.12878787878787878,0.30303030303030304,0.08762886597938144,0,0,0,0,0,0,0,1,0.34146341463414637,0,0,7720,131,0
77,11,12,12,143,44,1,9,0,0,0,2,6,1.1,0.006944444444444444,0.08333333333333333,0.08333333333333333,0,1,0,1,0,1,1,1,0.0,0,0,132,0,0
84,5921,70,70,273,0,71,323,1,0,1,2,8,18.27469135802469,0.2591240875912409,0.25547445255474455,0.01198919284025667,0,0,1,0,1,0,1,0,0.0,0,1,414470,273,0
86,2109,70,70,270,1,63,182,3,0,1,2,6,11.524590163934427,0.23247232472324722,0.25830258302583026,0.02985781990521327,0,0,1,0,1,0,1,0,0.0,1,1,147630,270,0
87,2024,70,70,271,0,54,196,1,0,1,2,6,10.274111675126903,0.19852941176470587,0.25735294117647056,0.02666666666666667,0,0,0,0,1,0,1,0,0.0,0,1,141680,271,0
88,52,36,35,54,1,10,5,0,1,0,2,6,8.666666666666666,0.18181818181818182,0.6545454545454545,0.18867924528301888,0,1,0,0,0,0,1,1,0.02702702702702703,0,0,1872,0,1
90,404,70,70,126,0,23,35,1,0,1,2,0,11.222222222222221,0.18110236220472442,0.5511811023622047,0.056790123456790124,0,0,0,0,1,0,1,0,0.0,0,0,28280,126,1
91,298,70,70,272,0,21,50,1,0,1,2,0,5.8431372549019605,0.07692307692307693,0.2564102564102564,0.07023411371237458,0,0,0,0,1,0,1,0,0.0,0,0,20860,272,0
94,3445,70,70,272,0,54,316,2,0,1,2,8,10.867507886435332,0.1978021978021978,0.2564102564102564,0.01567034242600116,0,0,1,0,1,0,1,0,0.0,0,1,241150,272,0
95,452,70,62,270,0,14,97,1,8,1,2,1,4.612244897959184,0.05166051660516605,0.25830258302583026,0.03090507726269316,0,0,0,0,1,0,0,0,0.11267605633802817,0,0,31640,270,0
96,906,70,66,270,3,40,166,1,4,1,2,6,5.425149700598802,0.14760147601476015,0.25830258302583026,0.044101433296582136,0,0,0,0,1,0,0,0,0.056338028169014086,0,0,63420,270,0
101,21,60,60,20,70,1,3,1,0,1,2,6,5.25,0.047619047619047616,2.857142857142857,0.045454545454545456,0,0,0,0,0,1,0,0,0.0,0,0,1260,20,1
102,5,60,60,125,54,2,2,0,0,0,2,0,1.6666666666666667,0.015873015873015872,0.47619047619047616,0.3333333333333333,0,1,0,1,0,1,1,0,0.0,0,0,300,0,1
108,3247,70,70,163,77,80,243,3,0,1,2,8,13.307377049180328,0.4878048780487805,0.4268292682926829,0.024630541871921183,0,0,1,0,1,0,1,0,0.0,1,1,227290,163,0
109,1189,70,70,171,102,46,102,2,0,1,2,0,11.54368932038835,0.26744186046511625,0.4069767441860465,0.03865546218487395,0,0,0,0,1,0,1,0,0.0,0,1,83230,171,0
112,1922,70,64,239,0,57,185,3,6,1,2,0,10.333333333333334,0.2375,0.2916666666666667,0.029641185647425898,0,0,1,0,1,0,0,0,0.08450704225352113,1,1,134540,239,0
113,967,70,70,195,0,32,122,2,0,1,2,0,7.861788617886178,0.16326530612244897,0.35714285714285715,0.03305785123966942,0,0,0,0,1,0,1,0,0.0,0,0,67690,195,0
114,11,60,60,210,42,3,5,0,0,0,2,0,1.8333333333333333,0.014218009478672985,0.2843601895734597,0.25,0,1,0,1,0,1,1,0,0.0,0,0,660,0,0
118,255,70,70,98,0,16,31,1,0,1,2,0,7.96875,0.16161616161616163,0.7070707070707071,0.0625,0,0,0,0,1,0,1,0,0.0,0,0,17850,98,1
122,1166,70,63,254,4,23,68,1,7,1,2,1,16.89855072463768,0.09019607843137255,0.27450980392156865,0.01970865467009426,0,0,0,0,1,0,0,0,0.09859154929577464,0,0,81620,254,1
127,470,70,70,63,147,16,97,0,0,0,2,6,4.795918367346939,0.25,1.09375,0.03397027600849257,0,1,0,0,1,0,1,0,0.0,0,0,32900,0,1
130,87,61,61,260,13,16,21,1,0,1,2,0,3.9545454545454546,0.06130268199233716,0.23371647509578544,0.18181818181818182,0,0,0,1,0,0,1,0,0.0,0,0,5307,260,0
132,2941,70,70,271,1,34,263,2,0,1,2,8,11.140151515151516,0.125,0.25735294117647056,0.011556764106050306,0,0,1,0,1,0,1,0,0.0,0,0,205870,271,0
133,170,70,70,272,0,12,44,1,0,1,2,1,3.7777777777777777,0.04395604395604396,0.2564102564102564,0.07017543859649122,0,0,0,0,1,0,1,0,0.0,0,0,11900,272,0
135,388,70,70,159,2,24,44,1,0,1,2,8,8.622222222222222,0.15,0.4375,0.061696658097686374,0,0,0,0,1,0,1,0,0.0,0,0,27160,159,0
