feature,roc_auc,delta,importance,verdict
obs_per_session,0.8320325203252033,0.009837398373983675,0.08883611432602855,KEEP
zone_per_day,0.831869918699187,0.009674796747967451,0.10078231297669878,KEEP
level_per_day,0.8315447154471545,0.009349593495934894,0.1246224918140782,KEEP
zones_per_obs,0.8307317073170731,0.008536585365853555,0.09401621155666193,KEEP
is_late_joiner,0.8299186991869919,0.007723577235772328,0.006061913156189096,KEEP
no_guild,0.8298373983739837,0.00764227642276416,0.006966881501279683,KEEP
is_heavy_player,0.8297560975609757,0.007560975609756104,0.00909757169898859,KEEP
is_light_player,0.8286178861788618,0.006422764227642208,0.010416209331378228,KEEP
is_max_level,0.8282926829268293,0.0060975609756097615,0.010271878820895357,KEEP
is_static,0.8276422764227641,0.005447154471544535,0.008326437717787882,KEEP
stalled_leveller,0.8273170731707318,0.0051219512195122,0.012205582341084781,KEEP
is_low_level,0.8272357723577235,0.0050406504065039215,0.005816347446388708,KEEP
progression_ratio,0.8263414634146342,0.004146341463414638,0.035127225109335414,KEEP
guild_hopper,0.8258536585365854,0.003658536585365857,0.0034027396825862827,KEEP
is_explorer,0.8256097560975609,0.0034146341463413554,0.007312172446316686,KEEP
obs_x_level,0.8243902439024391,0.002195121951219514,0.10309590480637543,KEEP
activity_x_guild,0.8243089430894308,0.002113821138211236,0.14030778213633063,KEEP
guild_stability,0.8222764227642276,8.130081300805614e-05,0.009556339670204611,DISCARD
sessions_per_day,0.8189430894308942,-0.003252032520325354,0.0953101039879453,DISCARD
zones_x_guild,0.8187804878048781,-0.0034146341463414664,0.07974138426451186,DISCARD
level_x_zones,0.8183739837398375,-0.00382113821138208,0.092756464740702,DISCARD
obs_per_day,0.8178048780487805,-0.004390243902439028,0.09325131068345763,DISCARD
zones_per_level,0.8165853658536586,-0.005609756097560981,0.08130942191925478,DISCARD
